,Occupation,Total Number of workers,Median weekly earnings,Number of workers Men,Median weekly earnings Men,Number of workers Women,Median weekly earnings Women,Gender_Gap
201,Emergency medical technicians and paramedics,179.0,912.0,125.0,991.0,54.0,786.0,20.686175580222
202,Health practitioner support technologists and technicians,570.0,735.0,126.0,843.0,444.0,712.0,15.539739027283517
203,Licensed practical and licensed vocational nurses,533.0,806.0,53.0,896.0,481.0,799.0,10.825892857142861
209,Service occupations,16558.0,592.0,7898.0,659.0,8660.0,537.0,18.51289833080425
210,Healthcare support occupations,2700.0,591.0,363.0,639.0,2337.0,585.0,8.450704225352112
211,"Nursing, psychiatric, and home health aides",1471.0,562.0,184.0,588.0,1287.0,556.0,5.442176870748295
222,Protective service occupations,2725.0,900.0,2172.0,953.0,553.0,731.0,23.294858342077653
229,"Bailiffs, correctional officers, and jailers",365.0,776.0,251.0,890.0,114.0,664.0,25.39325842696629
233,Police and sheriff's patrol officers,686.0,1111.0,559.0,1143.0,127.0,922.0,19.335083114610676
237,Security guards and gaming surveillance officers,790.0,650.0,631.0,671.0,159.0,589.0,12.220566318926974
241,Food preparation and serving related occupations,4689.0,522.0,2352.0,576.0,2337.0,492.0,14.583333333333337
242,Chefs and head cooks,406.0,698.0,334.0,727.0,72.0,553.0,23.933975240715267
243,First-line supervisors of food preparation and serving workers,426.0,584.0,184.0,657.0,242.0,545.0,17.04718417047184
244,Cooks,1362.0,512.0,831.0,535.0,531.0,489.0,8.598130841121499
245,Food preparation workers,574.0,496.0,246.0,532.0,328.0,463.0,12.969924812030076
246,Bartenders,293.0,610.0,159.0,655.0,134.0,578.0,11.755725190839694
247,"Combined food preparation and serving workers, including fast food",191.0,462.0,65.0,457.0,126.0,467.0,-2.188183807439814
249,Waiters and waitresses,973.0,511.0,292.0,594.0,681.0,491.0,17.340067340067343
251,Dining room and cafeteria attendants and bartender helpers,116.0,554.0,66.0,605.0,50.0,513.0,15.20661157024793
255,Building and grounds cleaning and maintenance occupations,3679.0,580.0,2293.0,618.0,1386.0,502.0,18.77022653721683
256,First-line supervisors of housekeeping and janitorial workers,215.0,710.0,134.0,758.0,80.0,639.0,15.699208443271772
258,Janitors and building cleaners,1563.0,582.0,1068.0,610.0,494.0,510.0,16.393442622950815
259,Maids and housekeeping cleaners,895.0,490.0,126.0,520.0,769.0,484.0,6.923076923076921
262,Personal care and service occupations,2764.0,565.0,718.0,624.0,2047.0,531.0,14.903846153846157
263,First-line supervisors of gaming workers,117.0,821.0,63.0,853.0,54.0,791.0,7.268464243845251
279,Personal care aides,815.0,516.0,130.0,581.0,685.0,509.0,12.392426850258175
280,Recreation and fitness workers,191.0,607.0,88.0,656.0,102.0,580.0,11.585365853658535
284,Sales and office occupations,23883.0,758.0,9695.0,874.0,14188.0,713.0,18.42105263157895
285,Sales and related occupations,9929.0,830.0,5525.0,982.0,4404.0,677.0,31.05906313645621
286,First-line supervisors of retail sales workers,2316.0,817.0,1246.0,955.0,1070.0,708.0,25.863874345549743
287,First-line supervisors of non-retail sales workers,857.0,1162.0,596.0,1157.0,261.0,1173.0,-1.382886776145198
288,Cashiers,1398.0,503.0,438.0,510.0,959.0,499.0,2.1568627450980427
291,Retail salespersons,1856.0,692.0,1094.0,806.0,762.0,578.0,28.287841191067
292,Advertising sales agents,169.0,1050.0,88.0,1143.0,81.0,874.0,23.53455818022747
293,Insurance sales agents,461.0,927.0,214.0,1034.0,247.0,806.0,22.050290135396523
294,"Securities, commodities, and financial services sales agents",192.0,1302.0,129.0,1386.0,63.0,1063.0,23.304473304473305
296,"Sales representatives, services, all other",477.0,1211.0,340.0,1332.0,137.0,973.0,26.951951951951948
297,"Sales representatives, wholesale and manufacturing",1107.0,1206.0,813.0,1262.0,294.0,1067.0,15.451664025356582
299,Real estate brokers and sales agents,543.0,1019.0,222.0,1344.0,321.0,883.0,34.300595238095234
303,"Sales and related workers, all other",194.0,935.0,123.0,966.0,71.0,848.0,12.215320910973082
304,Office and administrative support occupations,13954.0,732.0,4170.0,771.0,9784.0,721.0,6.485084306095978
305,First-line supervisors of office and administrative support workers,1215.0,866.0,406.0,971.0,809.0,816.0,15.962924819773427
311,"Bookkeeping, accounting, and auditing clerks",657.0,764.0,84.0,784.0,573.0,764.0,2.5510204081632626
321,Customer service representatives,1977.0,693.0,717.0,736.0,1259.0,673.0,8.559782608695654
331,Receptionists and information clerks,909.0,642.0,100.0,735.0,809.0,636.0,13.469387755102035
336,Dispatchers,240.0,806.0,108.0,854.0,131.0,763.0,10.655737704918034
339,Postal service mail carriers,296.0,951.0,185.0,994.0,111.0,893.0,10.160965794768618
341,"Production, planning, and expediting clerks",268.0,939.0,114.0,1039.0,154.0,872.0,16.07314725697786
342,"Shipping, receiving, and traffic clerks",507.0,679.0,332.0,686.0,175.0,662.0,3.498542274052474
343,Stock clerks and order fillers,1016.0,599.0,636.0,596.0,380.0,605.0,-1.5100671140939603
345,Secretaries and administrative assistants,2069.0,765.0,137.0,795.0,1932.0,763.0,4.025157232704402
