,location,time,gender_pay_gap
178,KOR,2006,39.774144311
179,KOR,2007,38.162064281999996
180,KOR,2008,39.037441734
181,KOR,2009,38.614682704
182,KOR,2010,39.605857342
183,KOR,2011,36.564229499999996
184,KOR,2012,36.298529966
185,KOR,2013,36.599634369
186,KOR,2014,36.653176139
187,KOR,2015,37.176281754
188,KOR,2016,36.666666667
189,KOR,2017,34.617382557
190,KOR,2018,34.107310951
191,LUX,2006,7.668067226900001
192,LUX,2010,4.5921644188
193,LUX,2014,3.4029167858
194,MEX,2005,16.666666667
195,MEX,2006,18.604651163
196,MEX,2007,12.5
197,MEX,2008,22.222222222
198,MEX,2009,16.666666667
199,MEX,2010,11.627906977
200,MEX,2011,10.0
201,MEX,2012,13.555555556
202,MEX,2013,15.433403805
203,MEX,2014,18.3
204,MEX,2015,16.666666667
205,MEX,2016,16.492248062
206,MEX,2017,11.111111111
207,MEX,2018,14.0
208,NLD,2006,16.008064515999997
209,NLD,2010,17.88914703
210,NLD,2014,14.11468179
211,NZL,2005,9.6111111111
212,NZL,2006,9.3333333333
213,NZL,2007,7.1428571429
214,NZL,2008,8.0536912752
215,NZL,2009,8.7591240876
216,NZL,2010,7.0112359551
217,NZL,2011,4.5333333333
218,NZL,2012,5.9079061685
219,NZL,2013,6.5943238731
220,NZL,2014,6.083333333300001
221,NZL,2015,7.92
222,NZL,2016,7.7692307692
223,NZL,2017,7.1508379888
224,NZL,2018,7.869692532899999
225,NOR,2005,9.3885160328
226,NOR,2006,9.1624347329
227,NOR,2007,9.831148259199999
228,NOR,2008,9.2356687898
229,NOR,2009,8.6687306502
230,NOR,2010,8.0597014925
231,NOR,2011,7.7809798271
232,NOR,2012,6.4066852368
233,NOR,2013,7.0080862534
234,NOR,2014,6.2827225130999995
235,NOR,2015,7.1246819338
236,POL,2006,11.440420482999999
237,POL,2008,12.993822243
238,POL,2010,7.1902070437
239,POL,2012,10.620155274
240,POL,2014,11.07286288
241,POL,2016,9.4178809362
242,PRT,2005,15.966388101
243,PRT,2006,14.354839495
244,PRT,2007,15.277779722
245,PRT,2008,15.63548277
246,PRT,2009,13.792500584
247,PRT,2010,13.450867734000001
248,PRT,2011,15.248122552
249,PRT,2012,16.315464897000002
250,PRT,2013,16.666666667
251,PRT,2014,18.879690138
252,PRT,2015,18.917016404
253,PRT,2016,14.313146075999999
254,PRT,2017,14.773510708
255,SVK,2005,20.099255582999998
256,SVK,2006,17.802768166
257,SVK,2007,17.521704815
258,SVK,2008,16.444769567999998
259,SVK,2009,16.432721259
260,SVK,2010,14.851117649
261,SVK,2011,15.449856429
262,SVK,2012,15.965269160999998
263,SVK,2013,14.109329757000001
264,SVK,2014,14.350047529000001
265,SVK,2015,13.376624885
266,SVK,2016,13.899182142999999
267,SVK,2017,15.040042332
268,SVK,2018,15.662080133
269,ESP,2006,13.533333333
270,ESP,2010,13.504464286
271,ESP,2014,11.540497618
272,SWE,2005,11.304347825999999
273,SWE,2006,11.016949152999999
274,SWE,2007,11.836734694
275,SWE,2008,10.588235294
276,SWE,2009,9.5419847328
277,SWE,2010,9.363295880099999
278,SWE,2011,9.1575091575
279,SWE,2012,9.285714285700001
280,SWE,2013,9.375
281,SWE,2014,9.1525423729
282,SWE,2015,8.3333333333
283,SWE,2016,8.1699346405
284,SWE,2017,7.3482428115
285,CHE,2006,21.318132126
286,CHE,2008,21.307506053
287,CHE,2010,20.053595355
288,CHE,2012,19.343526440999998
289,CHE,2014,16.940742841
290,CHE,2016,14.762372073
291,TUR,2006,3.2069970844999998
292,TUR,2010,3.1042128602999997
293,TUR,2014,6.882591093099999
294,GBR,2005,22.0639582
295,GBR,2006,21.718084024
296,GBR,2007,21.634780706999997
297,GBR,2008,21.857869108000003
298,GBR,2009,20.686295954000002
299,GBR,2010,19.231436918
300,GBR,2011,18.246005203
301,GBR,2012,17.783882784
302,GBR,2013,17.482014388
303,GBR,2014,17.382742570999998
304,GBR,2015,17.101551480999998
305,GBR,2016,16.796536797
306,GBR,2017,16.534100525
307,GBR,2018,16.403940887
308,USA,2005,18.975069252
309,USA,2006,19.246298789
310,USA,2007,19.843342037
311,USA,2008,20.050125313
312,USA,2009,19.78021978
313,USA,2010,18.810679612
314,USA,2011,17.788461538
315,USA,2012,19.086651054
316,USA,2013,17.906976744
317,USA,2014,17.451205510999998
318,USA,2015,18.882681564000002
319,USA,2016,18.142076503
320,USA,2017,18.172157279
321,USA,2018,18.910585817
322,CHL,2006,5.5555555556
323,CHL,2009,9.0909090909
324,CHL,2011,16.0
325,CHL,2013,10.666666667000001
326,CHL,2015,14.285714286
327,CHL,2017,12.5
328,EST,2006,29.6875
329,EST,2010,27.797833935
330,EST,2014,28.339350181
331,ISR,2005,21.924398625
332,ISR,2006,21.955215729000003
333,ISR,2007,20.40924794
334,ISR,2008,22.058823529
335,ISR,2009,21.13599802
336,ISR,2010,20.391577392000002
337,ISR,2011,19.659666908
338,ISR,2012,20.0
339,ISR,2013,20.345901815
340,ISR,2014,20.108141196
341,ISR,2015,20.439189189
342,ISR,2016,21.593332041
343,ISR,2017,21.791789940999998
344,LVA,2006,10.991957105
345,LVA,2010,19.055649240999998
346,LVA,2014,21.122994652
347,LTU,2006,15.952380952
348,LTU,2010,10.642570281
349,LTU,2014,12.479740681
350,SVN,2006,7.220573689400001
351,SVN,2010,0.9917355372
352,SVN,2014,4.9962714392
353,OECD,2005,15.8369842001463
354,OECD,2006,15.1566974111944
355,OECD,2007,15.666345944428
356,OECD,2008,15.705133528628199
357,OECD,2009,15.134606904405501
358,OECD,2010,14.3242601598918
359,OECD,2011,14.3437888790016
360,OECD,2012,14.234536425843698
361,OECD,2013,14.521205460043301
362,OECD,2014,14.047716228288401
363,OECD,2015,13.975286984688198
364,OECD,2016,13.251557089677801
365,OECD,2017,13.437751918343698
