,location,time,gender_pay_gap,gini,Unnamed: 0,prct_f_employed_ICT
116,GRC,2012,6.852802734400001,0.33799999999999997,515.0,18.3
117,GRC,2013,11.273731296,0.342,671.0,18.0
118,GRC,2014,9.0909090909,0.33899999999999997,827.0,17.1
119,GRC,2015,6.25,0.34,983.0,13.2
120,GRC,2016,4.486279454,0.33299999999999996,1139.0,12.7
121,GRC,2017,4.486279454,,1295.0,10.9
122,HUN,2005,4.0215265743,,,
123,HUN,2006,0.38438703590000006,0.264,,
124,HUN,2007,3.6481061267,0.257,,
125,HUN,2008,2.2206544601,0.24600000000000002,,
126,HUN,2009,3.8760880695999997,0.24100000000000002,83.0,36.4
127,HUN,2010,6.3817122518,0.266,239.0,39.0
128,HUN,2011,6.863905325399999,0.27,395.0,9.5
129,HUN,2012,11.332462442999999,0.28,551.0,10.6
130,HUN,2013,8.7236506348,0.27699999999999997,707.0,10.1
131,HUN,2014,3.7726055270999996,0.282,863.0,11.7
132,HUN,2015,9.5238095238,0.284,1019.0,11.9
133,HUN,2016,9.364317180599999,0.282,1175.0,13.1
134,ISL,2005,13.199229154000001,0.273,,
135,ISL,2006,12.400076757,0.289,,
136,ISL,2007,15.89033019,0.28600000000000003,,
137,ISL,2008,13.328559334000001,0.305,,
138,ISL,2009,15.977812775999999,0.266,131.0,25.9
139,ISL,2010,14.314783611,0.249,287.0,25.6
140,ISL,2011,14.07981281,0.252,443.0,15.1
141,ISL,2013,14.527463644000001,0.24100000000000002,755.0,17.1
142,ISL,2014,13.593489465,0.24600000000000002,911.0,21.2
143,ISL,2015,9.931403069,0.255,1067.0,22.6
144,ISL,2016,11.543446315,,1223.0,21.9
145,IRL,2005,13.793103448,0.324,,
146,IRL,2006,14.411326861,0.316,,
147,IRL,2007,17.953447971,0.304,,
148,IRL,2008,14.964028777000001,0.295,,
149,IRL,2009,14.887077375,0.312,43.0,25.9
150,IRL,2010,12.844729883,0.298,199.0,23.7
151,IRL,2011,10.446852551000001,0.307,355.0,23.9
152,IRL,2012,6.326160228200001,0.31,511.0,22.5
153,IRL,2013,14.021779029000001,0.308,667.0,23.2
154,IRL,2014,14.369905955999998,0.298,823.0,20.7
155,IRL,2015,12.602773346,0.297,979.0,19.7
156,IRL,2016,7.4310255075,0.309,1135.0,21.1
157,IRL,2017,5.8755315037,,1291.0,20.9
158,ITA,2006,7.6923076946,0.324,,
159,ITA,2008,11.764705884000001,0.317,,
160,ITA,2010,9.940335474500001,0.327,219.0,16.2
161,ITA,2012,11.111111113,0.33,531.0,15.9
162,ITA,2014,5.5555555533000005,0.326,843.0,13.7
163,ITA,2016,5.5555555533000005,0.32799999999999996,1155.0,14.2
164,JPN,2005,32.825438887,,,
165,JPN,2006,32.980832783000004,,,
166,JPN,2007,31.742323096999996,,,
167,JPN,2008,30.694397853,,,
168,JPN,2009,28.284923928,0.336,,
169,JPN,2010,28.684300928000003,,,
170,JPN,2011,27.395364926,,,
171,JPN,2012,26.523545706,0.33,,
172,JPN,2013,26.587578506999996,,,
173,JPN,2014,25.870989997,,,
174,JPN,2015,25.731790334,0.33899999999999997,,
175,JPN,2016,24.601289447,,,
176,JPN,2017,24.518092661,,,
177,KOR,2005,39.616632359,,,
178,KOR,2006,39.774144311,,,
179,KOR,2007,38.162064281999996,,,
180,KOR,2008,39.037441734,,,
181,KOR,2009,38.614682704,,,
182,KOR,2010,39.605857342,,,
183,KOR,2011,36.564229499999996,,,
184,KOR,2012,36.298529966,,,
185,KOR,2013,36.599634369,,,
186,KOR,2014,36.653176139,,,
187,KOR,2015,37.176281754,0.35200000000000004,,
188,KOR,2016,36.666666667,0.355,,
189,KOR,2017,34.617382557,0.355,,
190,KOR,2018,34.107310951,,,
191,LUX,2006,7.668067226900001,,,
192,LUX,2010,4.5921644188,,235.0,12.2
193,LUX,2014,3.4029167858,,859.0,10.8
194,MEX,2005,16.666666667,,,
195,MEX,2006,18.604651163,,,
196,MEX,2007,12.5,,,
197,MEX,2008,22.222222222,,,
198,MEX,2009,16.666666667,,,
199,MEX,2010,11.627906977,,,
200,MEX,2011,10.0,,,
201,MEX,2012,13.555555556,0.457,,
202,MEX,2013,15.433403805,,,
203,MEX,2014,18.3,0.45899999999999996,,
204,MEX,2015,16.666666667,,,
205,MEX,2016,16.492248062,0.45799999999999996,,
206,MEX,2017,11.111111111,,,
207,MEX,2018,14.0,,,
208,NLD,2006,16.008064515999997,,,
209,NLD,2010,17.88914703,,247.0,14.0
210,NLD,2014,14.11468179,0.303,871.0,12.2
211,NZL,2005,9.6111111111,,,
212,NZL,2006,9.3333333333,,,
213,NZL,2007,7.1428571429,,,
214,NZL,2008,8.0536912752,,,
215,NZL,2009,8.7591240876,,,
216,NZL,2010,7.0112359551,,,
